GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35
Id,Id2,Geography,Total:,Male:,Male: - No schooling completed,Male: - Nursery to 4th grade,Male: - 5th and 6th grade,Male: - 7th and 8th grade,Male: - 9th grade,Male: - 10th grade,Male: - 11th grade,"Male: - 12th grade, no diploma",Male: - High school graduate (includes equivalency),"Male: - Some college, less than 1 year","Male: - Some college, 1 or more years, no degree",Male: - Associate degree,Male: - Bachelor's degree,Male: - Master's degree,Male: - Professional school degree,Male: - Doctorate degree,Female:,Female: - No schooling completed,Female: - Nursery to 4th grade,Female: - 5th and 6th grade,Female: - 7th and 8th grade,Female: - 9th grade,Female: - 10th grade,Female: - 11th grade,"Female: - 12th grade, no diploma",Female: - High school graduate (includes equivalency),"Female: - Some college, less than 1 year","Female: - Some college, 1 or more years, no degree",Female: - Associate degree,Female: - Bachelor's degree,Female: - Master's degree,Female: - Professional school degree,Female: - Doctorate degree
3800000US0040,40,"Abilene, TX MSA",75496,35530,495,299,598,1008,857,1051,1072,1245,9216,2587,6189,2237,5390,2013,762,511,39966,512,291,565,1104,1094,1345,1345,1286,12256,3587,6379,1927,5825,1971,344,135
3800000US0120,120,"Albany, GA MSA",73060,33292,628,278,587,904,1053,1423,1641,1544,10162,2827,4640,1415,4136,1173,608,273,39768,662,330,741,1504,1122,1996,1915,1768,11628,3124,6123,2148,4182,1947,436,142
3800000US0160,160,"Albany--Schenectady--Troy, NY MSA",584792,275085,1847,1078,1559,7139,5701,7604,6393,8840,78770,16632,30629,25706,46570,22202,8429,5986,309707,1772,1164,1838,8091,5913,7884,7544,9768,97650,20419,33325,32559,44992,28430,5774,2584
3800000US0200,200,"Albuquerque, NM MSA",456076,217614,2614,1647,4779,5207,3643,4890,5590,7632,54160,14188,34671,12529,36566,18230,5921,5347,238462,2585,1467,3901,5759,4464,5550,5994,7813,64050,19332,39547,14561,38618,18534,4101,2186
3800000US0220,220,"Alexandria, LA MSA",79811,36948,918,443,714,1594,1009,1640,1613,1697,12566,2360,5130,942,3883,1233,860,346,42863,750,286,802,1779,1319,1804,2000,1893,14372,3151,5845,1979,4592,1889,339,63
3800000US0240,240,"Allentown--Bethlehem--Easton, PA MSA",434373,204734,1446,749,1897,8008,5847,7175,5960,5988,74268,11020,21267,12319,29845,11622,4190,3133,229639,1584,760,2534,10345,7202,10402,7428,6259,85828,13534,22865,17409,28632,11123,2754,980
3800000US0280,280,"Altoona, PA MSA",88366,41152,308,91,213,1426,980,1282,1040,1128,19872,2357,3770,2242,4305,1284,572,282,47214,267,34,138,1751,1287,1643,1408,1356,24235,2487,3895,2888,3810,1342,598,75
3800000US0320,320,"Amarillo, TX MSA",135055,65456,1069,511,1379,1834,1800,2190,2456,2157,17229,5693,10734,3707,9464,2955,1524,754,69599,877,493,1161,1836,1997,2575,2641,1983,18430,6987,12337,4623,9423,3196,795,245
3800000US0380,380,"Anchorage, AK MSA",159931,80298,527,208,390,978,760,1352,1139,2215,19731,6970,16299,6048,14781,5567,2436,897,79633,789,291,646,1084,939,1223,1195,1786,19010,7590,15930,6591,15084,5600,1296,579
