"state","puma5","msacmsa","pmsa","stab","msaname","pmsaname","pop2k","afact"
"01","00100","2650"," ","AL","Florence, AL"," ",142950,1 
"01","00200","3440"," ","AL","Huntsville, AL"," ",157952,1 
"01","00300","3440"," ","AL","Huntsville, AL"," ",184424,1 
"01","00400","9999"," ","AL","Non-metro"," ",118378,1 
"01","00500","9999"," ","AL","Non-metro"," ",184557,1 
"01","00600","2030"," ","AL","Decatur, AL"," ",145867,1 
"01","00700","9999"," ","AL","Non-metro"," ",132583,1 
"01","00800","1000"," ","AL","Birmingham, AL"," ",115766,0.621 
"01","00800","9999"," ","AL","Non-metro"," ",70713,0.379 
"01","00901","1000"," ","AL","Birmingham, AL"," ",103629,1 
"01","00902","1000"," ","AL","Birmingham, AL"," ",123233,1 
"01","00903","1000"," ","AL","Birmingham, AL"," ",154204,1 
"01","00904","1000"," ","AL","Birmingham, AL"," ",177089,1 
"01","00905","1000"," ","AL","Birmingham, AL"," ",103892,1 
"01","01000","2880"," ","AL","Gadsden, AL"," ",103459,1 
"01","01100","9999"," ","AL","Non-metro"," ",155066,1 
"01","01200","0450"," ","AL","Anniston, AL"," ",112249,1 
"01","01300","1000"," ","AL","Birmingham, AL"," ",143293,1 
"01","01400","8600"," ","AL","Tuscaloosa, AL"," ",164875,1 
"01","01500","9999"," ","AL","Non-metro"," ",128750,1 
"01","01600","9999"," ","AL","Non-metro"," ",129853,1 
"01","01700","0580"," ","AL","Auburn-Opelika, AL"," ",115092,1 
"01","01800","1800"," ","AL","Columbus, GA-AL"," ",49756,0.254 
"01","01800","9999"," ","AL","Non-metro"," ",145836,0.746 
"01","01900","5240"," ","AL","Montgomery, AL"," ",201568,1 
"01","02000","5240"," ","AL","Montgomery, AL"," ",131487,1 
"01","02100","9999"," ","AL","Non-metro"," ",165395,1 
"01","02200","5160"," ","AL","Mobile, AL"," ",198915,1 
"01","02300","5160"," ","AL","Mobile, AL"," ",200928,1 
"01","02400","5160"," ","AL","Mobile, AL"," ",140415,1 
"01","02500","9999"," ","AL","Non-metro"," ",107010,1 
"01","02600","2180"," ","AL","Dothan, AL"," ",137916,1 
"02","00101","0380"," ","AK","Anchorage, AK"," ",118678,1 
"02","00102","0380"," ","AK","Anchorage, AK"," ",141605,1 
"02","00200","9999"," ","AK","Non-metro"," ",109013,1 
"02","00300","9999"," ","AK","Non-metro"," ",157110,1 
"02","00400","9999"," ","AK","Non-metro"," ",100526,1 
"04","00101","6200"," ","AZ","Phoenix-Mesa, AZ"," ",102745,1 
"04","00102","6200"," ","AZ","Phoenix-Mesa, AZ"," ",109336,1 
"04","00103","6200"," ","AZ","Phoenix-Mesa, AZ"," ",174453,1 
"04","00104","6200"," ","AZ","Phoenix-Mesa, AZ"," ",188935,1 
"04","00105","6200"," ","AZ","Phoenix-Mesa, AZ"," ",152743,1 
"04","00106","6200"," ","AZ","Phoenix-Mesa, AZ"," ",100324,1 
"04","00107","6200"," ","AZ","Phoenix-Mesa, AZ"," ",146150,1 
"04","00108","6200"," ","AZ","Phoenix-Mesa, AZ"," ",116247,1 
"04","00109","6200"," ","AZ","Phoenix-Mesa, AZ"," ",120787,1 
